"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water","p_density","elevation"
"GAB","GA",2060,20375,20375,11948,10.76233,1.00371,3,,,2015,,,32,0,32,24,32,28,1,5579,0,0.75,0.875,0.913915094339623,3182.37856744058,0,0,0,1,10.0376456481932,4.74055378950329,5.52998168908613,5.29709146679884,25.5251261464449,31.8321231687012,15.8037521944102,8.49532991098627,16.0283700477199,0.765301202588473,16.2561207420805,632.253517919989
"GAB","GA",2060,20375,20375,11949,10.789353,0.994383,1,,,2015,,,97,0,97,43,97,60,1,5576,0,0.443298969072165,0.618556701030928,0.743066153040946,3182.37856744058,1,1,1,2,16.8479993442335,8.86465369200844,8.29045061081622,7.98334504685597,38.339103939896,49.1861586695917,22.0406219387896,13.0351893980378,27.1455353846955,1.25620769418683,7.86133587438594,642.116532084801
"GAB","GA",2060,20376,20376,11953,12.13923,2.15187,3,,,2015,,,75,2,74,33,74,45,1,5581,0.0266666666666667,0.445945945945946,0.608108108108108,0.74401964432561,1016.00719185452,2,2,2,3,7.83699367151137,2.70833938350508,8.10125508885382,5.12865412030636,84.0617496895854,81.4259474497193,34.8554543954359,14.7215749099398,46.5704925361014,3.85247615165144,1.89999997615814,598.159258239997
"GAB","GA",2060,20376,20376,11954,12.14867,2.13607,3,,,2015,,,45,0,45,23,45,30,1,5582,0,0.511111111111111,0.666666666666667,0.789657582110412,2049.92197793747,3,3,3,4,6.21281019136637,2.45277515374956,7.7660153926698,3.76003482554133,86.021171847183,80.4223894858525,37.6921466697904,15.9730543680847,42.7302412101172,3.60455464450505,1.89999997615814,599.398736799991
"GAB","GA",2060,20376,20376,11955,12.13128,2.14739,3,,,2015,,,68,0,68,18,68,29,1,5584,0,0.264705882352941,0.426470588235294,0.545553959652673,1016.00719185452,4,4,4,5,7.18574636090468,2.05672793528892,7.94844069751741,5.12901819523919,84.865812653118,81.5813616932388,34.8063475148707,14.563759890223,46.7750128944015,3.85487812009708,1.89999997615814,592.366022079999
"GAB","GA",2053,20335,20335,11900,14.1378899,-0.6544913,1,,,2015,,,77,8,77,32,77,14,1,5367,0.103896103896104,0.415584415584416,0.181818181818182,0.539170348263485,27025.37014618,7,7,7,7,24.6050703466786,12.5205908143438,13.4655667640981,12.0844792257394,61.9293655641151,75.7694473916671,33.3268692917845,22.4876037631897,42.4425776101347,1.74294836144762,9.69999980926514,423.952874693317
"GAB","GA",2053,20345,20345,11928,14.22667,-0.89904,3,,,2015,,,20,2,20,9,20,2,1,5433,0.1,0.45,0.1,0.52311320754717,956.285442775589,8,8,8,8,9.55352119391915,6.00330892334668,22.2272526375129,3.55021225730068,68.2192291560412,49.5111593273112,20.5295320320406,45.159043385107,28.9816260139176,5.32979908097747,3.59999990463257,499.672258240008
"GAB","GA",2053,20338,20338,11923,13.91634,-1.36617,3,,,2015,,,20,0,20,10,20,1,1,5389,0,0.5,0.05,0.495283018867924,16006.6385673373,15,15,15,12,26.1082131672825,16.556464715822,11.9249680892994,9.55174892045442,61.9668179147829,74.2046666307291,29.8735748260424,23.7299142408033,44.3310909670144,2.06541871970871,4.40000009536743,564.373591040037
"GAB","GA",2053,20336,20336,12050,13.89741,-1.21274,3,,,2015,,,46,42,46,36,46,42,1,5371,0.91304347826087,0.782608695652174,0.91304347826087,0.941845480583887,9703.70048415438,16,16,16,13,24.1936947242812,13.1979641973092,18.1231660551423,10.9957287267852,57.6831372699538,82.4803737902588,21.8255792393887,16.2421131852683,60.6547958858896,1.27751090398,26.2000007629394,451.185477119964
"GAB","GA",2053,20338,20338,11924,13.76829,-1.60292,3,,,2015,,,16,0,16,3,16,2,1,5391,0,0.1875,0.125,0.272700471698113,4850.1947873518,17,17,17,14,11.7986448828871,8.16638490309671,12.8679391538006,3.63226041371496,75.3334150339653,69.0751565374558,29.677564806721,28.4363723619523,39.3975898834176,2.48847254936685,4.40000009536743,435.067241599989
"GAB","GA",2053,20340,20340,12075,13.61026,-1.65243,3,,,2015,,,50,0,50,10,50,12,1,5401,0,0.2,0.24,0.369811320754717,2194.19479557442,18,18,18,15,47.0258513475985,11.7168152579899,19.036269955703,35.3090361718641,33.9378767110099,94.6204926502092,10.0338739972025,5.07221388340404,84.5866168004866,0.307293448631355,57.0999984741211,328.257235840006
"GAB","GA",2053,20342,20342,11975,13.19577,-1.48984,3,,,2015,,,8,1,8,7,8,7,1,5408,0.125,0.875,0.875,0.930498231132075,7454.15521489893,19,19,19,16,29.1453000811129,11.4892862022939,37.0990692079915,17.6560142502718,33.7556306764181,93.3448740929823,11.6155767769745,6.06355411253529,81.7292965042479,0.591571899269645,52.5,400.541870400002
"GAB","GA",2060,20375,20375,11950,10.68559,0.96235,3,,,2015,,,24,0,24,13,24,22,1,5578,0,0.541666666666667,0.916666666666667,0.907363731656184,5227.15928947632,22,22,22,18,9.75103051491075,4.36049084791407,5.28771266626531,5.39053994482604,84.9612531510138,87.7716563420774,65.3279342951544,11.0442770673793,22.4437236898278,1.1840664127127,5.19999980926514,642.277530399998
